isl_sidewalk,ConcreteRoughMaterial
isl_ramp,ConcreteRoughMaterial
isl_grass,VegetationGrassMaterial
isl_dirt,SoilClayMaterial
isl_concrete,ConcreteRoughMaterial
isl_curb,ConcreteRoughMaterial
isl_brick,SoilClayMaterial
isl_asphalt,AsphaltWeatheredMaterial
isl_field,VegetationGrassMaterial
cutout_light_pavement,ConcreteSmoothMaterial
cutout_dark_asphalt,AsphaltWeatheredMaterial
cutout_brick,ConcreteRoughMaterial
opaque__asphalt,AsphaltWeatheredMaterial
opaque__fabric,FabricStandardMaterial
opaque__cloth,FabricStandardMaterial
opaque__leather,FabricStandardMaterial
opaque__plastic,PlasticStandardMaterial
opaque__concrete,ConcreteRoughMaterial
opaque__cement,ConcreteSmoothMaterial
opaque__retropaint,RetroMarkingsMaterial
opaque__roadmarkings,RetroMarkingsMaterial
opaque__bark,OakTreeBarkMaterial
opaque__metal,MetalAlloyMaterial
opaque__glass,GlassStandardMaterial
opaque__rubber,RubberStandardMaterial
opaque__ceramic,FiberGlassMaterial
opaque__vegetation,VegetationGrassMaterial
opaque__stucco,ConcreteRoughMaterial
opaque__wood,OakTreeBarkMaterial
opaque__brick,SoilClayMaterial
opaque__bitumen,PlasticStandardMaterial
opaque__stone,ConcreteRoughMaterial
opaque__poplar,OakTreeBarkMaterial
opaque__emissive,GlassStandardMaterial
opaque__organic,FiberGlassMaterial
opaque_plastic,PlasticStandardMaterial
opaque_fabric,FabricStandardMaterial
opaque_metal,MetalAlloyMaterial
mat_terrain,VegetationGrassMaterial
mat_pavement,AsphaltStandardMaterial
mat_grass,VegetationGrassMaterial
thin__vegetation,VegetationGrassMaterial
thin__leaf,VegetationGrassMaterial
thin__grass,VegetationGrassMaterial
thin__weed,VegetationGrassMaterial
thin__poplar,VegetationGrassMaterial
thin__hydrangea,VegetationGrassMaterial
thin__pine,VegetationGrassMaterial
trans__glass,GlassStandardMaterial
trans__plant,VegetationGrassMaterial
trans__organic__eye_,WaterStandardMaterial
trans__organic__eyelash,FabricStandardMaterial
trans__organic__skin,FiberGlassMaterial
trans__organic__hair,FabricStandardMaterial
trans__organic__nails,PlasticStandardMaterial
trans__organic__cornea,WaterStandardMaterial
trans_plastic,PlasticStandardMaterial
mask__metal,MetalAluminumMaterial
